make,model,car_model,review_title,review_text,style,comfort_rating,fuel_economy,perfomance,value_for_money,overall_rating,helpful_votes_ratio,review_date
Honda,City,2014 Honda City Aspire 1.5 i-VTEC,Great Car,"I own Honda city 2014 1.5 Aspire Manual. Its fuel average is awesome getting 14-15km/l in city and 18-19km/l on long with AC.
Its interior is classy and spacious seats. Build quality is better than new honda city. 
Its a maintenance free car specially for beginners.
Its pick is soo awesome and does not feel underpowered. I will suggest to buy this car as its spacious than new honda city and yaris. and its parts are easily available too. And its 1.5 Manual variant will beat new generation competitior cars due to its nice HP and pick. I will recommend the 1.5 variant on 1.3.",4,4,4,5,5,4,1.0,2024-07-08
FAW,V2,2017 FAW V2 VCT-i,GREAT but Underrated Car,"If You're on a budget and want a nice car in this economy where hatchbacks are crossing 3 million mark, get a used faw V2.

1300cc DOHC engine with good AC performance. Bigger trunk space than swift cultus etc, solid exterior quality with safety features like airbags, crash beams.

Parts are easily available from mazda motors, Nimra autos etc and many parts can be fitted kabli 


But speaking in July 2022, if you want a nice used car under 1.3 million, this is ur best bet.",5,5,5,5,5,5,0.0,2022-07-30
Honda,Civic,2013 Honda Civic VTi Oriel 1.8 i-VTEC,Love the new civic,"Exterior:
Love the frount but back lights is not suiting this beast
Interior (Features, Space &amp; Comfort):
Good leg space and nice comfort well i have heard about people saying diff things to the comfort but we bought it wth leather seats
Fuel Economy:
Fuel economy is not so good
Ride Quality &amp; Handling:
Love the pick beacuse of manual trans handling is fine beacuse just bought 3 days ago and we even did not drive it much beacuse it is not rigestered
Final Words:

Excellent car if u have bughet so buy this but if you have less money so go for the reborn 2007 till 2010 bit dnt go for corollas this civic is better than the old one",4,5,2,5,5,4,0.36363636363636365,2013-10-04
Honda,City,2013 Honda City 1.3 i-VTEC,Family Car,"Great exterior
Fuel Average a bit low around 14 in city
Some basic features are missing like airbags
A bit under power on mountains
A good family car under 2 million 
Good for city and long routes
Comfort is average could have been better.
We have been using it since 2013
It has never given any issue only the ac blower sometimes stops working.
Its good value for money.",4,3,4,3,4,3,0.0,2021-11-15
Suzuki,Mehran,2013 Suzuki Mehran VXR Euro II,for GOD sake stop making it plz,"Exterior: just fazool 
(in punjabi jithoon di Khoti Uthey hee Khaloti=matlub 1989 se 2013 tak tmam models same aik jesey just 2013 )

Interior (Features, Space &amp; Comfort): total flop kuch kehna waqt ka ziaa hai

Fuel Economy: very good since its 1st model of 1989 to newest 2013 model

Ride Quality &amp; Handling: driving it so so risky bkaz of its very old fashion breaking system

Final Words: except fuel economy its total slugish atempt by suzuki since 1989 to date",1,1,1,5,5,2,0.4,2013-03-13
Nissan,Wingroad,2006 Nissan Wingroad 15M Authentic,Nissan Wingroad,"This car have expensive look but this car is only around 16 to 18 lacs outstanding comfort
All basics features and also have unique features such as climate control ,ABS ,auto headlights , rear adjustable seats and very comfortable car look are very aggressive and attractive.
build quality is superb better than local cars corolla civic city 
local car cant compare with this
Please buy and promote Wingroad and also impor this car in Pakistan",5,5,5,5,5,5,0.0,2023-10-29
KIA,Sorento,2021 KIA Sorento 2.4 FWD,Great buy for a Family of 6,"Alhamdulillah a decent exterior, though in Pakistan we aren't having the latest generation. Mercury Blue color is very good.
Interior is very user friendly, spacious, of high quality &amp; so comfortable.
Better than Toyota Fortuner in city &amp; on highways. Exceptionally good Road grip &amp; drive.
Not recommend for extreme off roading.
Fuel economy is around 8.5/9 km per liter in city &amp; 12 plus on highways",4,5,4,5,4,4,0.0,2021-10-23
Hyundai,Elantra,2021 Hyundai Elantra GLS,Excellent Sedan Compere To Grande And Civic,"First Of All V.stylish Exterior And Top Class Build Quality. The 2000CC Engine Give Better Fuel Economy Than Grande &amp; Civic, I Get 13-14Km/L With Ac In The City &amp; On Motorway With 120 Cruise 16Km/L Under 100 Cruise 17-18Km/L. Front Camera, Parking Sensors &amp; Adaptive Cruise Control Could Make This Car Un-Matchable In This Segment. The Interior Is Made Up Of Good Quality  Material. The Best Sedan In Pakistan Right Now. Good Value For Money. Best Car To Buy In The Budget Of 40Lac.",5,5,5,5,4,4,1.0,2021-11-30
Suzuki,Swift,Suzuki Swift DLX 1.3,Awesomeness redefined,"Hello everyone.I am living in norway and i had to buy car for my parents living in lahore. I had a tough situation to get through. Here in norway swift is a hit. I decided to go against advice of lots of people(which obviously was to buy toyota or honda) i decided to experiment and bough suzuki swift. I drove it and just kept on driving i fell in love with this spectacular machine as response and overall quality was awesome. No other car in pakistan comes with so much pre loaded gadgets. Keyless entry,Power mirrors,power steering,power windows,power cooling (AC is super cool)smooth gear shifting,bridge stone tyres,good sound system(no need for aftermarket expense on replacing sound system as it give you decent and enough bass to enjoy your journey) and last but not least ABS features makes it one hell of mean machine. Accelaration is the best part of this machine. Love its engine sound as it sounds compact and crispy whenever u press accelarator. Dint spend alot of money after purchasing just paid for poshish and mats and nothing else. Although little tight in diggy but one is not always on a road trip. Well compiled package by pak suzuki this time in a good price. Hats off to suzuki guys for giving us suzuki swift and breaking traditionaly duopoly of honda and toyota.",4,4,5,5,4,5,0.875,2012-08-12
Honda,City,2023 Honda City 1.2L CVT,Honda city trash,Looks my bs thk hai comfort zero price k hisab sy gari bilkul worth ni krti hai yan to thora improve krdain car ko yan price kaam krdain nd important thing k mri car ka kuch din phly accident hua honda city ka accident minor tha but gari ki build quality itni gandi thi k gari ka back finish hogya.,3,1,3,2,1,2,0.0,2024-05-23
Toyota,Corolla Cross,2024 Toyota Corolla Cross,Toyota Cross,"I checked it on showeoom at Gajumatta Ferozepur Road Lahore. 

The built in quality, its interior and exterior is quite good. 

Leg capacity at back side is very conjusted and people at back not easily feel good. Front capacity also not so good tight. 
Price is very high it should be round 7 million max..",3,3,4,3,3,3,0.0,2024-03-16
Honda,City,2007 Honda City i-DSI,Awesome Model by Honda,"Excellent Car by Honda....Honda never built a car of this stature specially in Engine quality. Body was also good and the distance provided at the back (bumper thickness) was very important in bumper crashes

Interior was not that roomy but still for a family size normal sedan it was OK. Engine was perfect if run purely on petrol",3,3,5,4,4,3,1.0,2017-03-31
Suzuki,Cultus,Suzuki Cultus VXRi (CNG),New Cultus,"For heavens sake change the shape our eyes are all ripen seeing the 2 decades old shape the new model has got all pathetic rear lights looks like crafted at a Laaloo Kheth plastic molding plant much much much highly priced it shouldnt cost more than 600,000/-",1,2,2,1,3,2,0.8333333333333334,2011-06-04
Suzuki,Alto,2021 Suzuki Alto VX,best  for city driving,"very fuel efficient car.
city driving k lie best haai lonng pr 90 se ziada speed ho to bht cheap feeling
 shape design is  a compromise situation.
 very good cabin space.
 if you are moving from old models of civic coorolla or city than its not forr you but if you're moving from mehran coure alto or cultus than its very best for you. over all for a family of 4 person its good car.",2,3,5,4,4,3,0.0,2021-08-10
Suzuki,Cultus,Suzuki Cultus,Economical + comefort aspect,"Very good economical car specially for Pakistan's<br>
Because Cheap maintenance, <br>
low cost of parts body as well as engine parts.<br>
and lots of thing <br>
Overall it is a good economical for us<br>
Regards,<br>
Syed Awais Ali................................................................... ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................<br>
                                                                                                        <br>",4,3,3,3,4,4,0.0,2009-06-17
Prince,Pearl,2021 Prince Pearl MT,Still need some changes,"Suspension quality not good, gear hard because of wire or any other object, door locks quality also not gud, change tyre also replace with thick or size  pls work on it otherwise this car is not survived in the market agar market capture karni ha tu quality deni hogi bcoz competetion bohoth ha n sab ko comfort with quality n finishing work want",5,3,3,3,3,3,0.0,2021-03-27
Suzuki,Swift,2014 Suzuki Swift DLX 1.3,Pleasant surprise,"Bought my second swift after exchanging the old one. I drove the older one for around 5 years. It was good...but I had issues with its fuel consumption.

Was pleasantly surprised with the new one. I have so far run it for around 6000 km. I am monitoring the fuel consumption quite closely.  I am getting numbers of around 15 km/Liter without A/C. ...I am mostly running on larger roads...like Shahrah-e-Faisal in Karachi.

Could this be real??!! I am finally getting good mileage from an otherwise good car finally!!",4,3,5,5,3,4,0.5,2015-02-19
Honda,Civic,2016 Honda Civic Turbo 1.5 VTEC CVT,Beauty and the beast,"Superb exterior and sporty look.
Turbo got no match in term of efficiency and performance.
Road grip, breaking, acceleration everything gives you a feeling of sports car in budget.
Fuel average is excellent if you drive with normal foot.
Only drawback is that there are few mechanics who knows how to handle this beast.",5,5,5,5,5,5,0.0,2022-10-21
Mercedes Benz,C Class,Mercedes Benz C Class C180 Kompressor,Great!,"it is a good car having a good shape and especially in Pakistan it has a repute,because in Pakistan 70-80 people are crazy for cars and so mercedes,BMW,Audi etc are having great honour here, c180 komp is surely a great car and not so much expensive like the other cars so many of us can buy it!",3,4,4,4,3,4,0.0,2011-10-14
Honda,City,2021 Honda City 1.5L CVT,Great buy but value not for mony,"Exterior is very stylish ,attractive u may have seen on pics...
Interior is very improved from old city as i have been a user of old city for 8 years but music sound quality is very poor, sound proofing is although better but not that much good as of toyota. suspension is better than prev city but again not that much good. built quality more or less same as of prev city with slight cabin plastic improvement. 
milage with ac 11km/l in city with light foot so far .. i haven't taken it to motorway yet....price should have been 1.5 lac less then the exect price...compfort of drive is very much improved....ac is good and  breaks are much better than toyota. Baki hifazat Allah ne karni hoti hai .",5,4,4,5,4,4,0.6666666666666666,2021-10-04
Honda,N Box,2014 Honda N Box G - Turbo L Package,An RV for a small budget,"Although the exterior does not have a good look to it  but  it is the  cutest box you can find. however the custom variants have a better  look to it
The interior is satisfying thing to look at with smooth curves and although plastic like any other kei car  has  a good toughness and rigidness to it. 
the seats are super comfy better than local produced cars such as corrolla, city and brv. 
the fuel economy heavily depends on how you drive and the conditions  of the weather. the one I own gives about 15 km/l(a turbo variant) at the moment and far distances give a better reading about  21km/l(this the maximum i have achieved)
the quality and finish of this car is no doubt extra ordinary . 
Ground clearance might be a problem when three or more passengers  are seated.
otherwise many feauters such as paddle shifters, traction control , citybraking system make your rides more safe and enjoyable.

HAPPY DRIVING!!!!!!!",4,5,4,5,5,4,0.0,2019-04-04
Hyundai,Tucson,2021 Hyundai Tucson AWD A/T Ultimate,HYUNDAI TUCSON AWD,MY CAR FUEL ECONOMY IS 17 IN LONG ROUTE.BUT NOW IT'S NOT VALUE TO MONEY APPLEID FOR BECAUSE CHANGAN OSHAN X7 AND MG HS AND CHERRY TIGGO 8 PRO HAVE FEATURES MORE THAN TUCSON BUT TUCSON IS EXPENSIVE THEN THIS CARS. THATS WHY TUCSON IS NOT VALUE TO MONEY. BUT TUCSON IS VERY PREMIUN AND HIS ATTITUDE LOOK. BUT TUCSON HAVE NOT BASIC FEATURES LIKE FRONT CAMERA PARKING SENSORS.,4,3,5,3,2,3,0.0,2024-05-05
KIA,Picanto,2020 KIA Picanto 1.0 AT,Great car with premium comfort but could have had better milleage,"I have had this car for over a week now and i am certainly satisfied except for a few things. 
1. Trunk space is too low, could have increased the size a bit.
2. back leg room is low is front seats are slid way back otherwise it is comfortable.
3. after driving for more than 400km the fuel average i got is 10-11 in city and 13-14 long with ac but have heard it is will increase after a few thousand km. 

Overall, a great addition to market and way better than the shit product provided by suzuki (cultus, wagonr).",5,4,3,4,4,4,1.0,2020-09-27
Honda,City,Honda City,Hona City Aspire 1.3,"New Honda City Aspire Launched. City Manual @ Rs. 1567000/- &amp; City Automatic @ Rs. 1708000/- Introductory Offer. Features are as follows:

1. Complete Navigation System with Rear Camera.
2. Full Original Leather Seats &amp; Leather upholstery.
3. Alloy Rims.
4. Key-less Remote System.
5. Side Door Mirrors Indicator Lamps. (Like Civic Top of the Line)
6. Additional two Rear Door Speakers.",5,5,5,5,5,5,0.0,2012-05-02
Suzuki,Alto,2024 Suzuki Alto VX,Comfortable Suzuki Alto VX,Sab say achi gari alto kai. Is par reviews Jo mainnay deaickey hain saray reviews ghatya hain. Is Ki fuel average bohat achi Hai. Magar main to issay hi choose karoon ga.  Main to chahtay hoon Kay Suzuki company asay hi  achi achi guardian banatayin rahain. In Shahllaha! Thanks!,5,5,5,3,5,4,0.0,2024-09-15
Hyundai,Elantra,2022 Hyundai Elantra GLS,Good car with bad braking,"I have been using it since November 2022. It's a power pack sedan with comfort. However, its brakes are very hard and not that responsive like that of civic or grande. Secondly, there is an unusual sound from the front right side wheel when it goes into any sharp bumps and speedbrakers, like some body part is loosened. got it checked from the dealership, and they said its a common sound in every elantra, and its a manufacturing fault. the sound is not coming on minor bumps now. It's very irritating. it seems like driving a very old vehicle.",5,4,5,5,5,4,0.0,2024-02-17
Toyota,Estima,2010 Toyota Estima Hybrid,Toyota Estima hybrid,the 2010 model estima hybrid is a great piece  ever build by toyota with 2.4 l hybrid engine it gives 13km per litre the exterior of the car is also good but interior build by toyota is amazing and comfortable  i bought this car back in 2016  it has seven seats which is enough for a family .,4,5,4,5,5,4,1.0,2019-07-19
Toyota,Prius,2012 Toyota Prius S 1.8,Great buy,Its great????car! The fuel economy is great within 20-24. If I give an example I travelled from Peshawar to Rawalpindi with only half tank. The exterior is classy and the interior is comfortable and outstanding if its black. The controlling is also perfect. The auto parking feature is 1 step to futuristic cars. The in-built speakers are also good with good bass. Overall its a good car!,5,5,5,5,5,5,0.0,2021-02-07
Chevrolet,Optra,2006 Chevrolet Optra 1.6 Automatic,Good sedan in this price range,"Exterior:
If I see look back in 2002-2008, then it's look great and competing with Pakistani market GLI and Civic.  Even in 2020 when I own this car I am still very much happy with its exterior look.

Interior:
I have driven Honda City 2009 and Baleno but I found its interior far more superior than these two and it is still intact (No crack, no issue). It gives luxury feelings.

Engine:
1.6 - The last owner of the car didn't take much care of the car so I went to engine overhaul. Now I am driving in running period as directed by mechanic not take it more than 2000 rpm. And even in running, its response is great. 

Fuel Average:
Now  this is the area which most Pakistanis think a lot. I would say that it is average fuel economy car as compared to GLI and other 1.6-Litre cars. I got 10KM in long route (Engine is still in running condition) but in city it is far less. May be 8KM and that too without AC.",4,5,3,4,3,3,0.0,2020-10-15
Toyota,Crown,2003 Toyota Crown Royal Saloon G,The best sedan By toyota,"One of the best luxury sedan Made by toyota . High comfort level comparatively to the 2004-5 Crown models. All reclining seats, premium edition with Sunroof . 6 DISC  changer, dvd player genuine TV swing AC . Dual climate control AC. The car has telescopic steering wheel. One of the most fonest crown in Pakistan and may be onle the rarest.",5,5,5,5,5,5,0.0,2019-11-12
Chery,Tiggo 8 Pro,2023 Chery Tiggo 8 Pro 1.6 DEX Plus,Amazing Drive I have left hand CBU Unit enjoying,Everything is good and I bought Chery Tiggo 8 pro Saudi unit Left hand drive and hardware is very amazing and solid performance as compare to right drive which is locally assemble in Pakistan and M Very Happy with this Left Hand CBU Unit enjoying Thank u so much China and World Auto Mobile Park Towers showroom | Nissan Ghandara |,5,5,5,5,5,5,0.0,2023-09-13
Toyota,Corolla,1997 Toyota Corolla,experience with Toyota,"excellent car. if it is outclass condition . road grip  8/10
exterior shape 9/10
interior 7/10
sitting space 10/10
engine maintenance 9/10 
Engine power 8/10
speed 8/10
pick 7/10
AC 9/10
Fuel 9/10
heavy duty car.
Road turning 9/10.
comfortable &amp; relax driving.",5,4,4,4,5,4,0.0,2018-07-23
Suzuki,Alto,Suzuki Alto VXR (CNG),Crap,Good to fool pakistanis and its over priced having no safety for passengers and no abs no defroster and poor suspension and weak steering box poor gear knob which is very hard in shifting too poor ac and you cant do work in engine bay easily its very compact . spped is only 110 in cng and eats alot of petrol gies 11kpl in long and 7 in local and gives 120 in local wd ac and 180 in long and its parts are expensive one headlight is for 4800rs and rare seats are very uncomfortable and its stupny also is an issue to take out,1,1,1,3,2,1,0.8888888888888888,2011-08-09
Honda,Civic,2003 Honda Civic EXi Prosmatec,Excellent car,Salam! My brother in law has bought a honda civic exi A/T in 2017 at 76000 km GENUINE mileage in completely ZERO meter condition and I would say WOOOOWWWW.Still no fault absolutely smooth drive excellent build quality excellent shape excellent fuel economy 11.5 km/l in city which is awesome.The style looks and design are still way ahead of its time. Marvellous great car still.I would advice people to not waste money on shitty local hatchbacks instead find this model of civic which is a complete 5 seater sedan with a trunk.MashaAllah.,5,5,5,5,5,5,1.0,2020-11-24
